metodo,inicio,iteracion,z_anterior,z_actual,a,b,c,f_z,f_c,error,decision
Punto fijo,0.0,17,1.585581587297024,1.585604425174465,,,,-3.222545938097454e-06,,2.2837877440951004e-05,Punto fijo amortiguado
Punto fijo,0.0,18,1.585604425174465,1.5856158443713602,,,,-1.6112790407474264e-06,,1.141919689517934e-05,Punto fijo amortiguado
Punto fijo,0.0,19,1.5856158443713602,1.5856215540343543,,,,-8.056410384371659e-07,,5.709662994179965e-06,Punto fijo amortiguado
Punto fijo,8.0,1,,,1.5,1.6000000000000014,1.5500000000000007,,-0.005086268164039676,0.05000000000000071,Bisección
Punto fijo,8.0,2,,,1.5500000000000007,1.6000000000000014,1.575000000000001,,-0.0015047699754006105,0.025000000000000355,Bisección
Punto fijo,8.0,3,,,1.575000000000001,1.6000000000000014,1.5875000000000012,,0.00026407980694798106,0.012500000000000178,Bisección
Punto fijo,8.0,4,,,1.575000000000001,1.5875000000000012,1.5812500000000012,,-0.0006185243828048526,0.006250000000000089,Bisección
Punto fijo,8.0,5,,,1.5812500000000012,1.5875000000000012,1.5843750000000012,,-0.00017676743928773941,0.0031250000000000444,Bisección
Punto fijo,8.0,6,,,1.5843750000000012,1.5875000000000012,1.5859375000000013,,4.376985481269191e-05,0.0015625000000000222,Bisección
Punto fijo,8.0,7,,,1.5843750000000012,1.5859375000000013,1.5851562500000012,,-6.647036932971861e-05,0.0007812500000000666,Bisección
Punto fijo,8.0,8,,,1.5851562500000012,1.5859375000000013,1.5855468750000012,,-1.134315217588e-05,0.0003906250000000888,Bisección
Punto fijo,8.0,9,,,1.5855468750000012,1.5859375000000013,1.5857421875000013,,1.6215127508378835e-05,0.0001953125000000444,Bisección
Punto fijo,8.0,10,,,1.5855468750000012,1.5857421875000013,1.5856445312500012,,2.436431723817911e-06,9.76562500000222e-05,Bisección
Punto fijo,8.0,11,,,1.5855468750000012,1.5856445312500012,1.5855957031250012,,-4.45324921038992e-06,4.882812499995559e-05,Bisección
Punto fijo,8.0,12,,,1.5855957031250012,1.5856445312500012,1.585620117187501,,-1.008380989597768e-06,2.4414062499977796e-05,Bisección
Punto fijo,8.0,13,,,1.585620117187501,1.5856445312500012,1.585632324218751,,7.140323055043751e-07,1.2207031250044409e-05,Bisección
Secante,"-8.0, -7.0",1,,,1.5,1.6000000000000014,1.5500000000000007,,-0.005086268164039676,0.05000000000000071,Bisección
Secante,"-8.0, -7.0",2,,,1.5500000000000007,1.6000000000000014,1.575000000000001,,-0.0015047699754006105,0.025000000000000355,Bisección
Secante,"-8.0, -7.0",3,,,1.575000000000001,1.6000000000000014,1.5875000000000012,,0.00026407980694798106,0.012500000000000178,Bisección
Secante,"-8.0, -7.0",4,,,1.575000000000001,1.5875000000000012,1.5812500000000012,,-0.0006185243828048526,0.006250000000000089,Bisección
Secante,"-8.0, -7.0",5,,,1.5812500000000012,1.5875000000000012,1.5843750000000012,,-0.00017676743928773941,0.0031250000000000444,Bisección
Secante,"-8.0, -7.0",6,,,1.5843750000000012,1.5875000000000012,1.5859375000000013,,4.376985481269191e-05,0.0015625000000000222,Bisección
Secante,"-8.0, -7.0",7,,,1.5843750000000012,1.5859375000000013,1.5851562500000012,,-6.647036932971861e-05,0.0007812500000000666,Bisección
Secante,"-8.0, -7.0",8,,,1.5851562500000012,1.5859375000000013,1.5855468750000012,,-1.134315217588e-05,0.0003906250000000888,Bisección
Secante,"-8.0, -7.0",9,,,1.5855468750000012,1.5859375000000013,1.5857421875000013,,1.6215127508378835e-05,0.0001953125000000444,Bisección
